Title,Rating,Votes,Genre,Years,Runtime
Jai Bhim,9.3,"175,343","Crime, Drama, Mystery            ",(2021),164 min
The Shawshank Redemption,9.3,"2,549,198",Drama            ,(1994),142 min
The Godfather,9.2,"1,753,345","Crime, Drama            ",(1972),175 min
Soorarai Pottru,9.1,"107,606",Drama            ,(2020),153 min
The Dark Knight,9.0,"2,499,654","Action, Crime, Drama            ",(2008),152 min
The Godfather: Part II,9.0,"1,215,898","Crime, Drama            ",(1974),202 min
12 Angry Men,9.0,"753,325","Crime, Drama            ",(1957),96 min
The Lord of the Rings: The Return of the King,8.9,"1,757,046","Action, Adventure, Drama            ",(2003),201 min
Pulp Fiction,8.9,"1,960,320","Crime, Drama            ",(1994),154 min
Schindler's List,8.9,"1,301,020","Biography, Drama, History            ",(1993),195 min
Inception,8.8,"2,238,704","Action, Adventure, Sci-Fi            ",(2010),148 min
Fight Club,8.8,"2,006,831",Drama            ,(1999),139 min
The Lord of the Rings: The Fellowship of the Ring,8.8,"1,778,898","Action, Adventure, Drama            ",(2001),178 min
Forrest Gump,8.8,"1,967,179","Drama, Romance            ",(1994),142 min
"Il buono, il brutto, il cattivo",8.8,"735,231","Adventure, Western            ",(1966),161 min
Spider-Man: No Way Home,8.7,"471,738","Action, Adventure, Fantasy            ",(2021),148 min
Dara iz Jasenovca,8.7,"80,402","Drama, War            ",(2020),130 min
Shershaah,8.7,"113,386","Action, Biography, Drama            ",(2021),135 min
Sardar Udham,8.7,"36,442","Biography, Crime, Drama            ",(2021),164 min
The Lord of the Rings: The Two Towers,8.7,"1,587,482","Action, Adventure, Drama            ",(2002),179 min
The Matrix,8.7,"1,838,632","Action, Sci-Fi            ",(1999),136 min
Goodfellas,8.7,"1,101,524","Biography, Crime, Drama            ",(1990),146 min
Star Wars: Episode V - The Empire Strikes Back,8.7,"1,235,648","Action, Adventure, Fantasy            ",(1980),124 min
One Flew Over the Cuckoo's Nest,8.7,"974,056",Drama            ,(1975),133 min
Gisaengchung,8.6,"720,235","Comedy, Drama, Thriller            ",(2019),132 min
Drishyam 2,8.6,"33,964","Crime, Drama, Thriller            ",(2021),152 min
Interstellar,8.6,"1,694,223","Adventure, Drama, Sci-Fi            ",(2014),169 min
Cidade de Deus,8.6,"735,281","Crime, Drama            ",(2002),130 min
Sen to Chihiro no kamikakushi,8.6,"719,937","Animation, Adventure, Family            ",(2001),125 min
Saving Private Ryan,8.6,"1,329,617","Drama, War            ",(1998),169 min
The Green Mile,8.6,"1,239,959","Crime, Drama, Fantasy            ",(1999),189 min
La vita è bella,8.6,"669,279","Comedy, Drama, Romance            ",(1997),116 min
Se7en,8.6,"1,563,079","Crime, Drama, Mystery            ",(1995),127 min
The Silence of the Lambs,8.6,"1,368,916","Crime, Drama, Thriller            ",(1991),118 min
Star Wars,8.6,"1,307,135","Action, Adventure, Fantasy            ",(1977),121 min
Seppuku,8.6,"52,507","Action, Drama, Mystery            ",(1962),133 min
Shichinin no samurai,8.6,"335,971","Action, Drama            ",(1954),207 min
It's a Wonderful Life,8.6,"440,400","Comedy, Drama, Family            ",(1946),130 min
